,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
стиракъ,,στύραξ,,,"стуракина (ФГcэ, III, 192)",,,,,,,,,,,,,,,,
стихарь,,στιχάρι,м.,стихар,,,,,,tunica,"ФГcэ, III, 192; Срз. III, 514",,,,,,,,,,
стихера,,στιχηρόν,ж.,стихира,,,,,,,"ФГcэ, III, 192; Срз. III, 514",,,,,,,,,,
стихие,,στοιχεῖον,ср.,,,,,,,elementum,"ФГcэ, III, 192; Срз. III, 514",,,,,,,,,,
стихирарь,,στιχηράρι(ον),м.,,,,,,,liber elementum,"ФГcэ, III, 192; Срз. III, 514",,,,,,,,,,
стихологии,,στιψολόγιον,м.,,,,,,,,"ФГcэ, III, 192",,,,,,,,,,
стихописати,,στιχολογῶ,глаг.,,,,,,,,"ФГcэ, III, 192",,,,,,,,,,
стихъ,,στίχος,м.,,,,,,,"versus, linea","ФГcэ, III, 192; Срз. III, 515",,,,,,,,,,
стомахъ,,στόμαχος,м.,,,,,,,venter,"ФГcэ, III, 192; Срз. III, 520",,,,,,,,,,
стратигъ,,στρατηγός,м.,,,,,,,praetor,"ФГcэ, III, 192-193",,,,,,,,,,
стратилатъ,,στρατηλάτης,м.,,,,,,,dux,"ФГcэ, III, 193; Срз. III, 544",,,,,,,,,,
стратимъ,,*στράτιμος,м.,,,,,,,avis mythicus,"ФГcэ, III, 193",,,,,,,,,,
стратоперархъ,,στρατοπεδάρχης,м.,,,,,,,praefectus castorum,"ФГcэ, III, 193",,,,,,,,,,
стридия,,στρείδι<ὀστρείδιον:ὄστρεον,ж.,,,,,,,ostrei species,"ФГcэ, III, 193",,,,,,,,,,
стронень,,στρώνω<στρώννυμι,м.,стронецъ,,,,,,,"ФГcэ, III, 193",,,,,,,,,,
стронуть,,στρώνω<στρώννυμι,глаг.,,,,,,,,"ФГcэ, III, 193",,,,,,,,,,
строфингъ,,στρόφιγξ,м.,,,,,,,cardo,"ФГcэ, III, 193; Срз. III, 557",,,,,,,,,,
струдокамилъ,,στρουθοκάμηλος,м.,,"стратокамилъ (ФГcэ, III, 194)",,,,,struthiocamelus,"ФГcэ, III, 193-194",,,,,,,,,,
струдокамилъ,,στρουθοκάμηλος,,,"строфокамилъ (ФГcэ, III, 194)",,,,,,,,,,,,,,,,
субота,,σάμβατον,ж.,"сѫбота, саввата",,,,,,,"ФГcэ, III, 196",,,,,,,,,,
сударь,,σουδάρι(ν),м.,соударь,,,,,,sudarium,"ФГcэ, III, 194",,,,,,,,,,
сукамилавка,,καμήλι(ον),ж.,,"камилавка (ФГcэ, III, 74)",,,,,capa,,,,,,,,,,,
сукамина,,συκάμινον,ж.,стоукамина,,,,,,morus,"ФГcэ, III, 194",,,,,,,,,,
сукомория,,συκομορέα,,,,,,,,,,,,,,,,,,,
сумарникъ,,*ψωμάρι:ψωμί,м.,,,,,,,,"ФГcэ, III, 194",,,,,,,,,,
сумарь,,*ψωμάρι:ψωμί,м.,"сумаръ, сумакъ",,,,,,panis,"ФГcэ, III, 194",,,,,,,,,,
сумарья,,*ψωμάρι:ψωμί,ж.,,,,,,,,"ФГcэ, III, 194",,,,,,,,,,
сундукъ,,συνδοκεῖον,м.,,,,,,,,"ФГcэ, III, 194-195",,,,,,,,,,
суниларь,,σουληνάρι,м.,соулинарь,,,,,,canalis,"ФГcэ, III, 194; Срз. III, 620",,,,,,,,,,
супия,,σουπιά,ж.,,,,,,,,"ФГcэ, III, 195",,,,,,,,,,
сурикъ,,συρικόν,м.,,,,,,,cnidium venosum,"ФГcэ, III, 195",,,,,,,,,,
сурьма,,σύρμα,ж.,,,,,,,,"ФГcэ, III, 195",,,,,,,,,,
сфагида,,"σφραγίδα,σφραγίς",ж.,,,,,,,"signum crucis, quo prosphora munitur","ФГcэ, III, 195",,,,,,,,,,
сфекло,,σφεκλο<σπέκλον,ср.,,,,,,,,"ФГcэ, III, 195; Срз. III, 636",,,,,,,,,,
схизма,,σχίσμα,ж.,,,,,,,schisma,"ФГcэ, III, 195",,,,,,,,,,
схизматикъ,,σχισματικός,м.,,,,,,,schismaticus,"ФГcэ, III, 195",,,,,,,,,,
схима,,σχῆμα,ж.,скима,,,,,,vestis monachorum,"ФГcэ, III, 196",,,,,,,,,,
схимить,,σχῆμα,глаг.,,,,,,,,"ФГcэ, III, 196",,,,,,,,,,
схимонахъ,,σχῆμα+μοναχός,м.,схимомонахъ,,,,,,,"ФГcэ, III, 128",,,,,,,,,,
схинизма,,σχοίνισμα,ж.,,,,,,,,"ФГcэ, III, 196; Срз. III, 636",,,,,,,,,,
схолия,,σχολεῖον,ж.,,,,,,,schola,"ФГcэ, III, 196; Срз. III, 636",,,,,,,,,,
тавла,,τάβλα,ж.,,,,,,,tabula,"ФГcэ, III, 196; Срз. III, 911",,,,,,,,,,
тавлея,,ταβλιά,ж.,тавлей,"тавлеюшка, ставлеюшка (ФГcэ, III, 196)",,,,,,"ФГcэ, III, 196",,,,,,,,,,
тавлина,,τάβλα,ж.,,"тавлинка (ФГcэ, III, 196)",,,,,,"ФГcэ, III, 196",,,,,,,,,,
таврить,,*ταυρός<σταυρός,глаг.,,,,,,,,"ФГcэ, III, 196",,,,,,,,,,
тавро,,*ταυρός<σταυρός,ср.,,,,,,,,"ФГcэ, III, 196-197",,,,,,,,,,
тавуларь,,ταβουλάριος,,,,,,,,,"ФГcэ, III, 196",,,,,,,,,,
таганъ,,τηγάνι(ον),м.,тиганъ,,,,,,,"ФГcэ, III, 197",,,,,,,,,,
тагарь,,ταγάρι(ον),м.,тягар,,,,,,,"ФГcэ, III, 197-198",,,,,,,,,,
тайстра,,τάγιστρον,ж.,"кайстра, кастра","танстрикъ (ФГcэ, III, 197)",,,,,,"ФГcэ, III, 197-198",,,,,,,,,,
тайстра,,τάγιστρον,,,"кастёрка (ФГcэ, III, 197)",,,,,,,,,,,,,,,,
тайстра,,τάγιστρον,,,"танистра, цанiстра, танистра, торнiстра (ФГcэ, III, 198)",,,,,,,,,,,,,,,,
такарка,,ταγάρι(ον),ж.,,,,,,,,"ФГcэ, III, 197",,,,,,,,,,
талантъ,,τάλαντον,м.,"таланъ, талань",,,,,,"mensura, moneta, штпутшгь","ФГcэ, III, 198",,,,,,,,,,
таланьливый,,τάλαντον,прил.,,,,,,,,"ФГcэ, III, 198",,,,,,,,,,
талерь,,ταλέρι<τάλαρος,ж.,,,,,,,,"ФГcэ, III, 198",,,,,,,,,,
талисманъ,,τέλεσμα,м.,,,,,,,signum magicum,"ФГcэ, III, 198",,,,,,,,,,
талия,,θαλλί,ж.,,,,,,,,"ФГcэ, III, 199-200; Срз. III, 921",,,,,,,,,,
талъ,,θαλλός,м.,,,,,,,salix cinerea,"ФГcэ, III, 199",,,,,,,,,,
таль,,θαλλός,ж.,,,,,,,ramus virens,"ФГcэ, III, 198-199",,,,,,,,,,
тарахта,,*ταράχτα<ταράχτης,ж.,,,,,,,,"ФГcэ, III, 200",,,,,,,,,,
тартаръ,,τάρταρος,м.,,,,,,,hades,"ФГcэ, III, 200; Срз. III, 925",,,,,,,,,,
тасемка,,δεσμός,ж.,,,,,,,,"ФГcэ, III, 201",,,,,,,,,,
тектонъ,,τέκτων,м.,,,,,,,faber,"ФГcэ, III, 200; Срз. III, 945",,,,,,,,,,
темианъ,,θυμιάμι(ον):θυμίαμα,м.,"тьмьанъ, фимиамъ, фимианъ, темьянъ",,,,,,suffitus,"ФГcэ, III, 202",,,,,,,,,,
тента,,τέντα,,,,,,,,,,,,,,,,,,,
теревиндъ,,τερέβινθος,м.,,"терефинефъ (ФГcэ, III, 200)",,,,,terebinthus,"ФГcэ, III, 200",,,,,,,,,,
теревиндъ,,τερέβινθος,,,"теревинефъ (ФГcэ, III, 200)",,,,,,,,,,,,,,,,
теревиндъ,,τερέβινθος,,,"терпентинъ (ФГcэ, III, 200)",,,,,,,,,,,,,,,,
теремъ,,τέρεμνον,м.,,,,,,,domus,"ФГcэ, III, 200-201",,,,,,,,,,
теремьнъ,,τέρεμνον,прил.,,,,,,,,"ФГcэ, III, 200",,,,,,,,,,
тесьма,,δεσμός,ж.,тасьма,,,,,,,"ФГcэ, III, 201",,,,,,,,,,
тетигыи,,τεττίγιον:τέττιξ,м.,,,,,,,,"ФГcэ, III, 201; Срз. III, 954",,,,,,,,,,
тетрадь,,τετράδι(ον),ж.,"цитрадзь, татрать",,,,,,libellus,"ФГcэ, III, 201",,,,,,,,,,
тетрархъ,,τετράρχης,м.,,,,,,,dux et custos,"ФГcэ, III, 201",,,,,,,,,,
тетроевангелие,,τετραευαγγέλιον,ср.,,,,,,,quantuor evangeliorum codex,"ФГcэ, III, 201; Срз. III, 954",,,,,,,,,,
тетръ,,τετραευαγγέλιον,м.,,,,,,,,"ФГcэ, III, 201",,,,,,,,,,
тефолон,,τροπολόγι(ον),м.,,,,,,,liber ecclesiasticus,"ФГcэ, III, 204; Срз. III, 992",,,,,,,,,,
тиара,,τιάρα,ж.,,,,,,,mitra,"ФГcэ, III, 201-202; Срз. III, 954",,,,,,,,,,
тигръ,,τίγρις,м.,,,,,,,tigris,"ФГcэ, III, 202; Срз. III, 958",,,,,,,,,,
типикарь,,*τυπικάρι<ο>ς:τυπικόν,м.,,,,,,,ordinarius,"ФГcэ, III, 202",,,,,,,,,,
тираннъ,,τύραννος,м.,тыранъ,"тираннусъ (ФГcэ, III, 202)",,,,,tyrannys,"ФГcэ, III, 202; Срз. III, 960",,,,,,,,,,
тисарь,,"τέσσαρα,τέσσαρες",числ.,"стисарь, сесаръ, цецаръ, тесуръ, тjесаръ",,,,,,numer.,"ФГcэ, III, 202",,,,,,,,,,
титарня,,κτήτωρ,ж.,,,,,,,,"ФГcэ, III, 103",,,,,,,,,,
титарувати,,κτήτωρ,глаг.,,,,,,,,"ФГcэ, III, 103",,,,,,,,,,
титла,,"τίτλον,pl.τίτλα",ж.,"титло, титьлъ","титулъ (ФГcэ, III, 202)",,,,,titulus,"ФГcэ, III, 202-203; Срз. III, 960",,,,,,,,,,
тминъ,,κύμιον,м.,"кюминъ, къминъ, къминъ, кминъ, киминъ",,,,,,carum carvi,"ФГcэ, III, 108",,,,,,,,,,
товаръ,,τομάριον,м.,,,,,,,corium,"ФГcэ, III, 203",,,,,,,,,,
топазъ,,"τόπαζος, τοπάζιον",м.," томпазъ, тумпазъ, тынпасъ","тимпазий, топазий,  тумпазий, тупазий","слово с неустановленной этимологией [Hjalmar Frisk, Griechisches etymologisches Wörterbuch. Heidelberg, 1960. P. 910-911], через ср.-греч.  τοπάζιον, древнегреч. τόπαζος.",,,полудрагоценный камень топаз',,"топазиосъ, топанизъ, топаньзии: Словарь старославянского языка. т. IV, c. 477.",,"Панд.Ант.1, 133. XI в.; Псалт.Б.-С., 123. XI в.; Хрон.Г.Амарт., 43. XIV в. ~ XI в.; Библ.Генн. 1499 г. (Иов. XXVIII, 19); Александрия, 153. XV в. Флавий.Полон.Иерус. II, 86. XVI в. ~ XI в.; Травник Любч., 716.","Ник.лет. XI, 101. XVI в.; Х.Игн.См., 10. XVI в.; Оп.ц.Знам.Богор., 3. 1631 г.; Словарь Том., 284ю 1645 г.; Оп.Новг.Соф.соб., 372. 1646 г.; Росп.им.Н.Ром., 3. 1655 г.; Алф.1, 231 об. XVII в.",,XI в,,драгоценные камни,"Среди морфологических вариантов есть морфологически неадаптированные топазиосъ, топазионъ.","Топаз входит в число 12-ти камней (по числу колен Израилевых) на наперснике первосвященника (Исх. XXVIII, 15-30). Топаз имеет символическое значение и упоминается в сочинении Епифания Кипрского о двенадцати камнях Библии, которое входит в славянский Изборник 1073 г. (Аксентон Ю.Д.  Сведения о драгоценных камнях в Изборнике Святослава 1073 г. и некоторых других памятниках.) О символическом толковании драгоценных камней идет речь и в других славяно-русских памятниках письменности: Апокалипсисе, Толковой Палее и др."," томпазъ, топазионъ, топазиосъ, тумпазъ, тумпазионъ, тынпасъ, тимпазий, топазий, топазия, тумпазий, тупазий, пазионъ, панзионъ"
топазъ,,"τόπαζος, τοπάζιον",,,топазия,,,,,,,,,,,,,,,,
топазъ,,"τόπαζος, τοπάζιον",,,"пазионъ, панзионъ, топазионъ, тумпазион",,,,,,,,,,,,,,,,
топазъ,,"τόπαζος, τοπάζιον",,,топазиосъ,,,,,,,,,,,,,,,,
торакъ,,θώραξ,м.,,,,,,,lorica,"ФГcэ, III, 203",,,,,,,,,,
тормозить,,τόρμος,глаг.,,,,,,,,"ФГcэ, III, 203",,,,,,,,,,
тормозъ,,τόρμος,м.,"тормосъ, тормазъ",,,,,,sufflamen,"ФГcэ, III, 203",,,,,,,,,,
торникъ,,τοόρνος,м.,торнякъ,,,,,,,"ФГcэ, III, 203",,,,,,,,,,
трагикъ,,τραγικός,м.,,,,,,,tragicus,"ФГcэ, III, 203; Срз. III, 985",,,,,,,,,,
трандахил,,τριαντάφυλλο,м.,,,,,,,syringa vulgaris,"ФГcэ, III, 206",,,,,,,,,,
трапеза,,τράπεζα,ж.,трапеꙁа,,,,,,mensa,"ФГcэ, III, 203-204",,,,,,,,,,
трапезарь,,τραπεζάρις,м.,,"трапезаторъ (ФГcэ, III, 204)",,,,,,"ФГcэ, III, 204",,,,,,,,,,
трапезовать,,τράπεζα,глаг.,трипезовать,"трапезовувати (ФГcэ, III, 204)",,,,,,"ФГcэ, III, 204",,,,,,,,,,
трепизъ,,τράπεζα,м.,"трепезъ, тряпезъ, тепезь","трапезникъ (ФГcэ, III, 204)",,,,,,"ФГcэ, III, 204",,,,,,,,,,
трепинъ,,τρύπανον,м.,,,,,,,,"ФГcэ, III, 204",,,,,,,,,,
триволъ,,τρίβολος,м.,,,,,,,murex,"ФГcэ, III, 204; Срз. III, 993",,,,,,,,,,
тривунъ,,τριβοῦνος,м.,,"тривонотарии (ФГcэ, III, 205)",,,,,tribunus,"ФГcэ, III, 205; Срз. III, 993",,,,,,,,,,
триира,,τριήρης,ж.,трииръ,"триирия, триирии (ФГcэ, III, 205)",,,,,triremis,"ФГcэ, III, 205; Срз. III, 998",,,,,,,,,,
трикирии,,τρικήριον,м.,дикирии,,,,,,cereus triplex,"ФГcэ, III, 205",,,,,,,,,,
триклинъ,,τρίκλινος,м.,,,,,,,,"ФГcэ, III, 205; Срз. III, 997",,,,,,,,,,
триодь,,τριῴδι(ον),ж.,,,,,,,triodium,"ФГcэ, III, 205; Срз. III, 998",,,,,,,,,,
трипсидь,,τριψίδι(ον),ж.,,,,,,,cynamomum,"ФГcэ, III, 205; Срз. III, 998",,,,,,,,,,
триския,,θρησκεία,ж.,,,,,,,religio,"ФГcэ, III, 205; Срз. III, 999",,,,,,,,,,
тристать,,τριστάτης,м.,,,,,,,dux,"ФГcэ, III, 205; Срз. III, 999",,,,,,,,,,
трихаптонъ,,τρίχαπτον,м.,,,,,,,,"ФГcэ, III, 205; Срз. III, 1000",,,,,,,,,,
троить,,τρώγω,глаг.,"троиць, троити",,,,,,,"ФГcэ, III, 205-206",,,,,,,,,,
трой,,τρώγω,м.,,,,,,,,"ФГcэ, III, 206",,,,,,,,,,
тройло,,τρώγω,,,"трайляк (ФГcэ, III, 206)",,,,,,"ФГcэ, III, 206",,,,,,,,,,
троксимо,,τρώξιμω:τρώγω,ср.,,,,,,,intibi genus,"ФГcэ, III, 205; Срз. III, 340",,,,,,,,,,
троктъ,,τρώκτης,м.,,,,,,,piscis,"ФГcэ, III, 206",,,,,,,,,,
тропарь,,τροπάρι(ον),м.,трепарь,,,,,,modus,"ФГcэ, III, 206",,,,,,,,,,
трофея,,τρόπαιον,ж.,,,,,,,trophaeum,"ФГcэ, III, 206; Срз. III, 1003",,,,,,,,,,
трохилъ,,τροχίλος,м.,,,,,,,avis genus,"ФГcэ, III, 206; Срз. III, 1003",,,,,,,,,,
троякъ,,τρώγω,,траякъ,,,,,,,"ФГcэ, III, 206",,,,,,,,,,
троянда,,τριαντάφυλλο,ж.,,,,,,,rosa centifolia,"ФГcэ, III, 206",,,,,,,,,,
трояндофилъ,,τριαντάφυλλο,м.,,,,,,,rosa,"ФГcэ, III, 206",,,,,,,,,,
трулъ,,τροῦλλος,м.,,,,,,,,"ФГcэ, III, 206",,,,,,,,,,
тумба,,τοῦμβα,ж.,,,,,,,,"ФГcэ, III, 207",,,,,,,,,,
тумванъ,,τούμβανος:τύμπανος:τύμπανον,м.,"тоумванъ, тоумпанъ, тимпанъ",,,,,,instrumentum musicum,"ФГcэ, III, 207; Срз. III, 1037",,,,,,,,,,
тунецъ,,θύννος,м.,,,,,,,thynnus vulgaris,"ФГcэ, III, 207",,,,,,,,,,
тургунъ,,δράκοντον<τραγάκανθον+δράκων,м.,,"острогонъ, эстрагонъ (ФГcэ, III, 208)",,,,,artemisia deacunculus,"ФГcэ, III, 207-208",,,,,,,,,,
тыранка,,τύραννος,ж.,,,,,,,,"ФГcэ, III, 202",,,,,,,,,,
тыринъ,,τυρίν:τυρίον:τυρός,м.,,,,,,,,"ФГcэ, III, 208",,,,,,,,,,
тябло,,τέμπλον,ср.,"тѧбло, тѧблъ",,,,,,,"ФГcэ, III, 208",,,,,,,,,,
удякать,,δείκνω<δεικνύω<δείκνυμι,глаг.,,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
уксусъ,,ὄξος,м.,оуксусъ,,,,,,acetum,"ФГcэ, III, 208",,,,,,,,,,
улепки,,βλέπω,мн.ч.,,,,,,,,"ФГcэ, III, 209",,,,,,,,,,
улепнуть,,βλέπω,глаг.,,,,,,,,"ФГcэ, III, 209",,,,,,,,,,
улеповать,,βλέπω,глаг.,"улеповаць, улепаць",,,,,,,"ФГcэ, III, 209",,,,,,,,,,
улепый,,βλέπω,прил.,,"неулепый (ФГcэ, III, 209)",,,,,,"ФГcэ, III, 209",,,,,,,,,,
улепый,,βλέπω,,,"безулепый (ФГcэ, III, 209)",,,,,,"ФГcэ, III, 209",,,,,,,,,,
урарь,,ὡράρι(ον),м.,"оурарь, аларь",,,,,,horarium,"ФГcэ, III, 209",,,,,,,,,,
урма,,ὀρμή,ж.,,,,,,,,"ФГcэ, III, 209",,,,,,,,,,
уяперить,,ἐπαίρω>παίρω,,,,,,,,,"ФГcэ, III, 68",,,,,,,,,,
фаетонъ,,φαέθων,м.,хваетонъ,,,,,,,"ФГcэ, III, 209",,,,,,,,,,
факиелесъ,,φακιόλης,м.,,,,,,,,"ФГcэ, III, 210",,,,,,,,,,
фаланга,,φαλάγγα:φαλάγγιον<φάλαγξ,ж.,,,,,,,"aranea, ordo","ФГcэ, III, 210",,,,,,,,,,
фалконъ,,φάλκων,м.,,,,,,,falco,"ФГcэ, III, 210",,,,,,,,,,
фалуда,,*φελλοῦδα:φελλός,ж.,,,,,,,,"ФГcэ, III, 210",,,,,,,,,,
фамилия,,φαμιλία,ж.,,,,,,,familia,"ФГcэ, III, 210",,,,,,,,,,
фарисфеи,,φαρισαῖος,м.,фарисѣи,,,,,,pharisaeus,"ФГcэ, III, 210",,,,,,,,,,
фарь,,φαρι(ον):φάρης,м.,,"фарисъ (ФГcэ, III, 211)",,,,,equus,"ФГcэ, III, 211",,,,,,,,,,
фаса,,φάσσα,ж.,,,,,,,columba,"ФГcэ, III, 211",,,,,,,,,,
фасуля,,φασούλλι,ж.,"пасуля, фасоля, квасоля",,,,,,phaseolus,"ФГcэ, III, 211",,,,,,,,,,
фата,,,ж.,,,,,,,vistis,"ФГcэ, III, 211",,,,,,,,,,
февраль,,φεβράρις,м.,"феврарь, февларь",,,,,,februarius,"ФГcэ, III, 211",,,,,,,,,,
фёзъ,,θιός:θεός,м.,,ахвёзъ,,,,,deus,"ФГcэ, III, 211",,,,,,,,,,
фелонь,,φαιλόνης:φαιλόλης,м.,"фелонъ, фелонiй","фелонец (ФГcэ, III, 211)",,,,,mantile,"ФГcэ, III, 211-212",,,,,,,,,,
фелука,,φελοῦκα,ж.,"фелюга, фелюгъ",,,,,,,"ФГcэ, III, 212",,,,,,,,,,
фениксъ,,φοῖνιξ,м.,"финиксъ, финикъ, фюниксъ",,,,,,avis,"ФГcэ, III, 213",,,,,,,,,,
ферезь,,φορεσιά<φορεσία,ж.,ферязь,,,,,,,"ФГcэ, III, 212",,,,,,,,,,
фиала,,φιάλα,ж.,фиалъ,,,,,,vas,"ФГcэ, III, 212-213",,,,,,,,,,
филактерия,,φυλακτήριον,ж.,,,,,,,amuletum ad arcendos et depellendos morbos,"ФГcэ, III, 213",,,,,,,,,,
Филипъ,,Φίλιππος,м.,,,,,,,Philippus,"ФГcэ, III, 213",,,,,,,,,,
филипъ,,Φίλιππος,м.,пилипъ,,,,,,nomen,"ФГcэ, III, 213",,,,,,,,,,
философъ,,φιλόσοφος,м.,,,,,,,vir doctus,"ФГcэ, III, 213",,,,,,,,,,
филь,,φυλή,м.,,,,,,,,"ФГcэ, III, 213",,,,,,,,,,
финикъ,,φοῖνιξ,м.,,,,,,,palma,"ФГcэ, III, 213",,,,,,,,,,
фириакъ,,θηριακόν,м.,териiфкъ,,,,,,theriaca,"ФГcэ, III, 213",,,,,,,,,,
фисташка,,πιστάκι(ον),м.,,,,,,,pistacia vera,"ФГcэ, III, 213-214",,,,,,,,,,
фитиль,,φιτίλι,м.,витиот,,,,,,,"ФГcэ, III, 214",,,,,,,,,,
флабурарь,,φλαμβουράρις<φλάμβουρον:φλάμμουλον,м.,флабоурарь,,,,,,,"ФГcэ, III, 214",,,,,,,,,,
фляжка,,,ж.,,,,,,,,"ФГcэ, III, 40",,,,,,,,,,
фока,,φόκα,ж.,,,,,,,,"ФГcэ, III, 214",,,,,,,,,,
фоль,,φόλλις,ж.,,,,,,,moneta,"ФГcэ, III, 214",,,,,,,,,,
фонарь,,φανάρι(ον):φανός,м.,"финарь, фенарь, хвинарь",,,,,,,"ФГcэ, III, 215",,,,,,,,,,
фортуна,,φοτοῦνα,ж.,хортоуна,,,,,,,"ФГcэ, III, 215",,,,,,,,,,
фофанить,,θεοφάνης,глаг.,,,,,,,,"ФГcэ, III, 215",,,,,,,,,,
фофанъ,,θεοφάνης,м.,феофанъ,,,,,,Nomen. propr.,"ФГcэ, III, 215",,,,,,,,,,
фридакъ,,θρίδαξ,м.,,,,,,,lactucae genus,"ФГcэ, III, 216",,,,,,,,,,
фрягъ,,φράγκος,м.,"фрѧгъ, фрꙗгъ",,,,,,francus,"ФГcэ, III, 216",,,,,,,,,,
фтора,,φτορά,ж.,,,,,,,,"ФГcэ, III, 216",,,,,,,,,,
фулакионъ,,φυλακεῖον,м.,,,,,,,cancer,"ФГcэ, III, 213",,,,,,,,,,
фундукъ,,φουντούκι,м.,,,,,,,corylus tuberosa,"ФГcэ, III, 216",,,,,,,,,,
хадарки,,ποδάρι(ον),мн.ч.,,"оходары, ходары (ФГcэ, III, 216)",,,,,,"ФГcэ, III, 216",,,,,,,,,,
халазия,,χαλάστρα:χαλάζω:χαλάω,ж.,,,,,,,,"ФГcэ, III, 216",,,,,,,,,,
халасати,,χαλάστρα:χαλάζω:χαλάω,глаг.,,,,,,,,"ФГcэ, III, 216",,,,,,,,,,
халастра,,χαλάστρα,ж.,,,,,,,,"ФГcэ, III, 216",,,,,,,,,,
халванъ,,χαλβάνη,м.,,,,,,,gummi galbanum,"ФГcэ, III, 217",,,,,,,,,,
халена,,*χαλέπα:χαλεπός,ж.,"халина, халиба, халива",,,,,,,"ФГcэ, III, 217",,,,,,,,,,
