,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
множство,,mnóstwo,с.,"мъножьство, множество, множдество","множение, множествие",,,,"1. Большое количество, обилие кого-, чего-л. 1.1. Большое количество людей, народ. 1.2. Большое количество материальных ценностей. денег; богатство. 2. В сочетании а абстрактными именами существительными обозначает значительную интенсивность названного именем существительным явления. ",,"СлРЯ 9, 226",,,Псков.лет. II,,,"KOK(360) (1158): По грѣхомъ нашимъ, моръ бысть въ людехъ многъ, и конь мъножьство помре. Новг.I лет., 142. XIII в. (1). (1265): Домонтъ же въ множествѣ ярости мужества своего, не дождавъ полковъ новгородскых, с малою дружиною... .изби полкы их. Псков.лет. ΙΙ, 18. XV  в.",,,,
мова,,mowa,ж.,,,,,,"Речь, язык.",,"СлРЯ 9, 228",,,АИ II,1610 г.,," SOB(71) 17 w. Чтобы титулы писаны были прямо, а не по ихъ мовѣ, что они сказываютъ. АИ II, 356. 1610 г.",,,,
мовить,,mówić,глаг.,,,,,,Говорить.,,"СлРЯ 9, 228",,,АИ II,1609 г.,,"Мух.сб. (47) 1495, C 1603 А въ той грамотѣ написалъ рубежъ... не такъ... якъ мы, въ Москвѣ, съ боярами на договорѣ мовили. АИ II, 256. 1609 г.",,,,
модель,,model,ж. и м.,,,,,,"1. Модель, образец.. 1.1. О натурщике. 2. Воспроизведение или схема чего-л. в уменьшенном виде (2).",,"СлРЯ 9, 232",,,"Арх.бум.Петра, I.",1700 г.,,"Роспись что издержано про обиходъ великого государя... за модель и чертежъ лѣтучие судна 9 р. Арх.бум.Петра, I, 186. 1700 г. (2)",,,,
мода,,moda,ж.,,,,,,"1. Способ устройства, тип, модель. (древн.) 2. Мода, определенный стиль в отношении одежды. убранства помещений.",,"СлРЯ 9, 232",,,"Петр, Ι",1699 г.,,"А что стволы на колесахъ, и то самая старая мода и нигдѣ не употребляется болши. Петр, I, 284. 1699 г. (1)",,,,
модестия,,modestia,,,,,,,,,,,,,,,SM,,,,
можжер,,moździerz,м.,"Мозжеръ, можеръ, можжиръ, мажжеръ",,,,,1. Ступа. 2. Крупное орудие. (древн.),,"СлРЯ 9, 324",,,"Арх.бум. Петра, I",1692 г.,,"Велѣно купить въ село Преображенское въ мажжеры на дѣло ядеръ 30 липинъ облыхъ, гладкихъ. Арх.бум.Петра, I, 361. 1692 г.",,,,
можно,,można,безл. в знач. сказ.,мошно,,,,,"1. Возможно, есть возможность. Н е  м о ж н о -  нельзя. (древн.) 2. разрешается, позволительно.",,"СлРЯ 9, 324",,,"АХУ I, Дон.д. II","1574 г., 1640 г.",,"RB  И попа де въ тѣ поры  къ болямъ каяти и зъ дары ихъ родилницамъ съ молитвою добыти не мошно, и болные люди мрутъ безъ покаянья и безъ даровъ. АХУ I, 9. 1574 г. (древн.) Изготовити въ донскую посылку къ весне хлѣбныхъ запасовъ... и подъ тѣ запасы суды,  какъ мошно съ тѣми запасы и съ провожатыми поднятца. Дон.д. II, 65. 1640 г. (1)",,,,
можность,,możność,ж.,,,,,,"Сила, могущество",,"СлРЯ 9, 324",,,Козм.,1670 г.,,"Тѣмъ ближнимъ цр҃скимъ от всег<о> мира честь великая, для можности и могутства их, что всякие дѣла могут дѣлать. Козм., 349. 1670 г.",,,,
можный,,możny,прил.,,,,,,"Могущественный, сильный.",,"СлРЯ 9, 324",,,Курб.Ист.,XVII в.,XVI в.,"DAM, C 1674, 1688  Отъ царя казанского, сильнаго и можнаго мучителя христианского. Курб.Ист., 168. XVII в. ~ XVI в. Что вселенная едина предъ тобою, когда многихъ царей наслѣдие есть съ тобою? Ты убо ей еси можнѣйший во вселеннѣй. Юдифь, 76. 1674 г.",,,,
мозарабский,,mozarabski,,,,,,,,,,,,,,,L 1678,,,,
молитовник,,modlitewnik,м.,,,,да,,Молитвенник.,,"СлРЯ 9, 246",,,АМГ I,1630 г.,,"K1 1630 И та книжка молитовникъ литовская, киевская печать. АМГ I, 311. 1630 г.",,,,
молодость,,młodość,ж.,младость,,,,,"Молодость, юность. С ъ  м о л о д о с т и - по молодости, вследствие недостаточного жизненного опыта.  - Молодостью, как нареч.",,"СлРЯ 9, 250",,,,,,"SZ2 17/18 w. (1541): Чтобы его великый государь пожаловалъ, гнѣвъ свой отложилъ и проступку его отдалъ, что онъ по грѣхомъ своею молодостию отъ великого князя дрьзнулъ отъѣхати. Львов.лет. II, 457. XVI в. Износилъ свою молодость для друга для милова, истаскалъ красоту свою. Песни Кваш., 926. XVII в. ",,,,
монарх,,monarcha,м.,,"монарха, монархий",,,,Монарх.,,"СлРЯ 9, 257-258",,,Куранты 1,1628 г.,,"L 1601, C 1628, 1674 ||монарха SOB(99) 17 w., C 1695 Ни при котором францужском монархе не бывало, чтоб они нас так теснили. Куранты 1, 104. 1628 г.",,,,
монархия,,monarchia,ж.,,,,,,Государство с монархической формой правления.,,"СлРЯ 9, 258",,,АИ II,1610 г.,," V 1659 Великого государя Дмитрея Ивановича, божиею милостию цесаря и великого князя всеа Русии и всѣхъ татарскихъ царствъ и иныхъ многихъ государствъ, Московские монархии подлеглыхъ. АИ II, 344. 1610 г.",,,,
монета,,moneta,ж.,манета,,,,,"Монета, чеканенные металлические деньги разного достоинства.",,"СлРЯ 9, 260",,,"Петр, I",1698 г.,,"Дается отъ курфирста... салдатомъ на мѣсецъ берлинской монеты тарель. Петр, I, 716.1698 г.",,,,
монополия,,"monopolium (16 w.), monopol",,,,,,,,,,,,,,,K1 poł. 17 w.,,,,
монструм,,monstrum,м.,,,,,,"Редкое явление (ср. лат. monstrum - необыкновенное явление, чудо; чудовище)",,"СлРЯ 9,  260",,,Алф. 1,XVII в.,, SM  Монструм -чюдеса. Алф. 1. 144. XVII в.,,,,
моральный,,moralny,,,,,,,,,,,,,,,"SOB(162) 17 w.,",,,,
морговый,,morgowy,,,,,,,,,C 1698,,,,,,,,,,
мордент,,mordent,,,,,,,,,,,,,,,L 1698,,,,
мосендзовый,,mosiądzowy (16 w.),прил.,мосендцовый,,,,,Латунный ,,"СлРЯ 9, 270",,,А.юж. и зап.Рос. III,1649 г.,,"А въ скрынце было... лихтарь масендцовый. А.юж. и зап.Рос. III, доп., 84. 1649 г.",,,,
