А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
укономъ,,οἰκονόμος,м.,икономъ,,,,,"То же, что икономъ.",,"СлРЯ, 31, 316",,"Патерик Син., 47.",,XI в.,XI в.,"Гла ми укономъ: сътворивъ любъвь, приду (ὁ οἰκονόμος). Патерик Син., 47. ",религия. богослужебные должности,,,,,
уксусъ,,ὄξος,м.,,,,,,"1. Кислая жидкость для приправы пищи и приготовления приправ, получаемая через окисление хлебного и виноградного вина, пива; уксус. 2. Незрелый виноград, кислый плод. ",acetum,"ФГcэ, III, 208; Срз. III, 1193; СлРЯ, 31, 361",,"Устав Студ.3, 375.","(Гр.кн.Всевол.) Княж.уставы, 162. XV в. ~ 1136 г.; Дм., 126. XVI в.; Кн.Ивер.м. II, 294. 1668 г.; Ерш Ершович1, 9. XVII в.; АИ II, 427. 1610-1613 гг.; (Росп.узор.) РИБ II, 562. 1636 г.; Мат.медиц., 7. 1630 г.; Кн.прих.-расх.Холмог.арх.д. № 102, 90. 1694 г.",XII в.,XI в.,"И да прѣ(д)ложать къ симъ и сочиво съ медъмь, елико его есть приятьно съ уксусъмь. Устав Студ.3, 375.",быт. еда,,,,,
уксусникъ1,уксусъ,,м.,,,,,,"Человек, изготавливающий и продающий уксус. ",,"СлРЯ, 31, 361-362",,,"Заб.Мат. II, 1142. 1626 г.; Столов.обих.Новоспасск.м., 113. 1649 г.;  Арх.бум. Петра, I, 378. 1692 г.",,1626 г.,"Бочка уксусника Вас<ь>ки Микитина. Заб.Мат. II, 1142.",экономика. занятия и профессии людей,,,,,
уксусникъ2,уксусъ,,м.,,,,,,"Сосуд, в котором подается на стол уксус.",,"СлРЯ, 31, 362",,,"Кн.пер.казны Ник., 70. 1658 г.; Д.Шакловит. IV, 281. 1689 г.",,1658 г.," Судовъ всякихъ оловянныхъ вѣсу четыре пуда двадцать пять гривенокъ. И въ томъ числѣ: шесть мисъ большихъ… одиннадцать уксусницъ с носками и съ поддонками, семь перешницъ оловянныхъ… уксусникъ съ носкомъ и поддонкомъ. Кн.пер.казны Ник., 70. ",быт. утварь,,,,,
уксусница1,уксусъ,,ж.,,,,,,Женск. к уксусникъ1.,,"СлРЯ, 31, 362",,,"Новг.лав.кн., 130. 1583 г.; Кн.пер.Моск.Китай-гор., 9. 1695 г.",,1583 г.,"Лав<ка> вдовы Офимьицы, Сенькины жены, уксусницы затвору 2 саж<ени> без лохти, длина 2 саж<ени>. Новг.лав.кн., 130. ",экономика. занятия и профессии людей,,,,,
уксусница2,уксусъ,,ж.,,,,,,"То же, что уксусникъ2.",,"СлРЯ, 31, 362",,,"Дух. и дог.гр., 412. 1521 г.; Кн.расх.Кир.м. № 2, 5. 1567 г.; Кн.прих.-расх.Волокол.м. № 4, 90 об. 1582 г.; Кн.солян.пром. № 6, 14 об. 1667 г.",,1521 г.,"Уксусница чеканена на стоянце с рукояд<ь>ю и с носком. Дух. и дог.гр., 412.",быт. утварь,,,,,
уксусный,уксусъ,,прил.,,,,,,"1. Относящийся к уксусу, изготовлению уксуса. 2. Уксусное вино - скисшее вино, винный уксус.",,"СлРЯ, 31, 362",, ,"Дм., 87. XVI в.; ДАИ VII, 310. 1677 г.; ДАИ X, 311. 1683 г.; Заб.Мат. II, 1108. 1626 г.; АЮБ III, 251. 1665 г.; Алф.1, 162. XVII в.",,XVI в.,"1 зн.Тако ж бы знала [государыня]... винной и бражной... и уксусной и кислымъ штям и всякой обиход как дѣлают. Дм., 87.",быт. еда,,,,,
улареный,уларь,,прил.,,,,,,"Улареная грамота - то же, что уларная грамота (см. уларный).",,"СлРЯ, 31, 366",,,"Стоглав, 89. XVII в. ~ 1551 г.",XVII в.,1551 г.,"А которые тѣ вдовые попы и диакони обѣщаются чистоту хранити и на крылосѣ стояти, и тѣм попомъ и диакономъ и имати ст҃лей блг҃свены грамоты патрахел<ь>ныя и улареные для крѣпости и бережениа. Стоглав, 89.",религия. богослужение,,,,,
уларный,уларь,,прил.,,,,,,Относящийся к орарю (уларю) (см. уларь).,,"Срз. III, 1195; СлРЯ, 31, 366-367",,,"(Зак.ц.Конст.) Соф. I лет.2, 166. XV в.; Стоглав2, 115. XVII в. ~ 1551 г.",,XV в.,"Оже имуть еп(и)с(ко)па или попа с чюжею женою или дияка уларняго [вар. XV в.: уларнаго], да измутся сана своего. (Зак.ц.Конст.) Соф.I лет.,3, 166.",религия. богослужебные облачения,,,,,
уларь,,ὠράρι(ον),м.,"оларь, орарь, урарь",,,,,"Орарь; принадлежность дьяконского облачения; широкая лента с крестами, которую дьякон во время слежбы носит на левом плече. ",,"Срз. III, 1195; СлРЯ, 31, 367","SJS IV, 633",,"Служ.Ант., 35. XII в.; Служ.Серг., 42. XIV в.; Оп.Солов.м. II, 346. 1549 г.; ДАИ XII, 405. 1699 г.",,XII в.,"Дияк<о>ни ждут, положьше улари на тряп<е>зѣ. Служ.Ант., 35.",религия. богослужебные облачения,,,,,
улисияне,,οὐαλήσιοι,мн.,,,,,,Представители раннехристианской (скопческой) секты валисиев.,,"СлРЯ, 31, 370",,"(Епиф.Кипр.о ересях) Ефр.корм., 664.",,XII в.,,"Улисияне, иже якоже прияхомъ суть во Акафонѣ живуще, матерьня вьси [вм.: вѣси] Аравиискыя Братолюбия [перевод названия ’Αραβία Φυλαδέλφεια], иже сущая и витающая у нихъ скапляюще, мъножаише же въ нихъ каженици суть отсѣчени (οὐαλήσιοι). (Епиф.Кипр.о ересях) Ефр.корм., 664.",религия. ереси и секты,,"представители раннехристианской скопческой секты, основанной Валисом.",,,
умены,,ὑμέναιοι мн. от ὑμέναιος,мн.,,,,да,,"Брачное торжество, свадьба",,"СлРЯ, 32",,"Хрон.И.Малалы IV, 360.",,XV в.,XIII в.,"Отнюдуже повѣдають Иассона бывша и Главькию, Креонотову дщерь, ц҃ря Фесельска, юже повѣдають изгорѣвшу съ отцемъ по прилучяю въ уменных, и ино тоя повѣсти многы, яже и прѣмудрыя Аполононии историкъ списа (ἐν τοῖς ὑμεναίοις). Хрон.И.Малалы IV, 360. XV в. ~ XIII в.",общественная жизнь,,,,,
упадиаконъ,,ὑποδιάκονος,м.,,,,,,"То же, что иподьяконъ; священнослужитель младшего чина, помогающий дьякону при совершении церковной службы .",,"Срз. III, 1236; СлРЯ, 32",,"(Апост. 69) Ефр.корм., 76.",,XIIв.,,"Иже еп҃спъ, ли поп, ли дияконъ, ли упадиакон [вар. XVI в.: подъякон], ли чьтьць, ли пѣвьць въ ст҃ыи великыи постъ не поститься... да извьржеться, развѣ аште тѣлесьныя болѣзни ради немощьно ему будеть (ὐποδιάκονος). (Апост. 69) Ефр.корм., 76.",религия. богослужебные должности,,,,,
упакой,,ὑπακοή,м.,,,,,,стихира после третьей песни на утрени,,"Срз. III, 1236; СлРЯ, 32",,"Устав Студ.3, 403. XII в. ~ XI в.",,XII в.,XI в.,"Егда же упакои поетьс<я> или ино что, еже въ Октаиц<е>, да стоять хытрѣишии того пѣния, да поють и прѣдъ ольтарьмь. Устав Студ.3, 403. XII в. ~ XI в. Упакоя два: единъ по единои каф., а другыи по друзѣи. Уст XII в., 3 (Срз. III, 1236)",религия. богослужение,,,,,
упархъ,,ὕπαρχος,м.,,,,,,,,"Срз. III, 1237; СлРЯ, 32",,"Гр.Наз., 49.",,XI в.,,"Къто не вѣсть тъгда бывъша упарха мъного<ю> своею лютостию на ны паче сътворивъша: есльмаже и крьщениемь отъ сего бѣаше съврьшенъ, нъ не коньчавъ паче нуждьнъихъ съповелѣвающю ему, дарования деля вьсего (ὕπαρχος). Гр.Наз., 49. ",государство. должности и титулы,,,епархъ (в знач. 1),,
упатактикъ,,ὑποτακτικός,м.,,,,,,Монах или послушник.,,"Срз. III, 1237; СлРЯ, 32",,"Ефр.Сир. IV, 60.",,1269–1289 гг.,,"Яко къ житиискымъ и къ упатактикомъ, рекше къ бѣлцемъ, различно творить рекый, кождо свои даръ имать от Б҃а… но ни житиискымъ узбранилъ есть законьно женитися, ни упатактикомъ от<ъ>ялъ есть уздержанья ради (ἀποτακτικούς). Ефр.Сир. IV, 60.",религия. богослужение,,,см. употактикъ,,
упатия,,ὑπατεία,ж.,,,,,,"Период управления консула  (ипата, упата) в Византии ",,"СлРЯ, 32",,"Хрон.И.Малалы1, 357.",,XVI в.,XIII в.,"По ц҃рствии же Иустина ц҃рствова единъ Иустиянъ… дасть же въ упатию в шестую епинемисъ и толику сыпа злата и раздая, елико никтоже от ц҃рь упатеуса. Хрон.И.Малалы1, 357.",государство. должности и титулы,,,,,
упатеуса,упатъ,ὑπατεύσας,прич.?,,,,да,,"исполнявший обязанности консула, правивший",,"СлРЯ, 32",,"Хрон.И.Малалы, XVIII, 26. ",,XVI в.,XIII в.,"По ц҃рствии же Иустина ц҃рствова единъ Иустиянъ… дасть же въ упатию в шестую епинемисъ и толику сыпа злата и раздая, елико никтоже от ц҃рь упатеуса (греч. сохранился в ""Пасхальной хронике"": ὡς οὐδεὶς  βασιλεὺς  ὑπατεύσας – дословно: ‘как ни один другой правивший царь’). Хрон.И.Малалы1, 357.",государство. должности и титулы,"заголовочной формой может быть [УПАТЕУСАСЪ], от греч. прич. ὑπατεύσας ‘исполнявший обязанности консула, правивший’",,,,
